Natureza;CFOP;Origem;CST completo;CST ICMS;Alíq. ICMS;Alíq. IPI;Base reduzida;Itens;Notas;NCMs;Exemplos de NF-e;Leitura operacional
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;220;20;17;3.25;SIM;37;36;85364900, 85365090;3521, 3525, 3526, 3532, 3533, 3537, 3545, 3564;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
VENDA INDUSTRIALIZACAO DENTRO ESTADO;5101;0;000;00;17;0;NÃO;37;34;72085300, 72189900, 73071910, 73269090, 84289090, 84798290, 84799090, 84834090, 85030010, 85371019, 85372090, 85389090, 90261029;3527, 3528, 3529, 3530, 3535, 3543, 3549, 3553;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;2;220;20;17;9.75;SIM;25;25;85365090;3523, 3524, 3525, 3551, 3556, 3570, 3607, 3608;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;000;00;17;0;NÃO;57;23;39173900, 39174090, 73063090, 73089010, 73181500, 73269090, 76042919, 76169900, 84123190, 84145990, 84158210, 84213990, 84715010, 85044050, 85176234, 85234990, 85318000, 85366910, 85369090, 85371020, 85372090, 85389010, 85389090, 85444200, 85444900, 90251910, 90312090, 90328911, 94054200;3540, 3544, 3555, 3561, 3573, 3597, 3610, 3616;"Combinação observada; validar finalidade antes de parametrizar."
RETORNO DE MERCAD. UTILIZADA NA INDUST.;5902;0;050;50;0;0;NÃO;29;17;32099019, 72085100, 84233090, 84734010, 85369090, 85381000;3575, 3576, 3633, 3634, 3635, 3636, 3637, 3638;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
REMESSA PARA INDUSTRIALIZACAO POR ENCOME;5901;0;050;50;0;0;NÃO;16;16;73084000, 73089090, 73144100, 84669330, 84803000, 84879000;3547, 3550, 3562, 3605, 3606, 3619, 3625, 3657;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
OUTRAS SAIDAS FORA DO ESTADO;6949;0;090;90;0;0;NÃO;21;16;73063090, 73089090, 73239400, 84283300, 84283990, 84439110, 84669330, 84799090, 84803000, 85369090, 85372090, 94031000;3554, 3559, 3596, 3609, 3613, 3624, 3642, 3652;"Operação especial; exigir justificativa e referência documental."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;000;00;12;0;NÃO;9;8;84129090, 84749000, 85044050, 85371020, 85381000, 85389090;3693, 3694, 3696, 3721, 3725, 3764, 3772, 3773;"Combinação observada; validar finalidade antes de parametrizar."
OUTRAS SAIDAS DENTRO DO ESTADO;5949;0;090;90;0;0;NÃO;12;8;73083000, 73089010, 73269090, 84189900, 84295199, 84439110, 84597000, 85044050, 85381000, 86090000;3590, 3611, 3648, 3665, 3671, 3709, 3719, 3750;"Operação especial; exigir justificativa e referência documental."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;5102;0;020;20;17;0;SIM;10;6;85364900, 85365090, 85444900;3544, 3599, 3704, 3783, 3784, 3800;"Perfil com redução de base; validar elegibilidade do produto e cBenef SC820006."
RETORNO DE MERC. OU BEM RECEB. P. CONS.;5916;0;050;50;0;0;NÃO;6;6;48201000, 84807100, 85369090, 85381000, 85389090;3531, 3541, 3568, 3577, 3621, 3644;"Operação de remessa/retorno com suspensão; exigir vínculo e controle de retorno."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6102;0;000;00;12;0;NÃO;6;5;85043119, 85044050;3536, 3548, 3595, 3651, 3705;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6102;2;200;00;4;9.75;NÃO;4;4;85365090, 85389090;3552, 3571, 3647, 3762;"Combinação observada; validar finalidade antes de parametrizar."
VENDA MERCADORIA ADQ. REC. DE TERCEIROS;6102;2;200;00;4;3.25;NÃO;4;4;85364900;3569, 3760, 3762, 3781;"Combinação observada; validar finalidade antes de parametrizar."
