tenant_id;empresa_id;item_id;codigo;item;saldo_atual;sugestao_ajuste_para_zero;ent_total;sai_total;ajuste_total;ent_os_nf;sai_os_sem_origem;sai_com_origem;qtd_os_refs;flag_dupla_saida_prob
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1462;800304;TUBO QD 40X40X2,00X6.000MM PECA(S): 35;-520.555;520.555;520.555;3123.33;2082.22;520.555;1041.11;2082.22;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1223;12235;1040669| WQG1-M25B/AD21.2 TERMINACAO RETA ENGATE RAPIDO M-25X1.5 (PRETO);-318;318;318;636;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1224;6697;1040290| GMK-M25B CONTRA PORCA M-25X1.5 (PRETO);-264;264;312;576;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1059;6237;1040277| WQSG AD21.2B SUPORTE FECHADO AD-21.0 (PRETO);-261;261;305;566;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1070;8570;1040440| WQG1-M20B/AD21.2 TERMINACAO RETA ENGATE RAPIDO M-20X1.5 (PRETA);-238;238;280;518;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1074;7121;1040368| GMK-M20B CONTRA PORCA M-20X1.5 (PRETO);-216;216;293;509;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1058;6235;1040275| WQSG AD15.8B SUPORTE FECHADO AD-15.8 (PRETO);-200;200;240;440;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;911;158001008212;FIXADOR AUTO ADESIVO 32X25MM LKCS/A PT               HELLERMANN;-200;200;200;400;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1071;5211;1040214| GMK-G1/2B CONTRA PORCA GAS 1/2" (PRETO);-187;187;226;413;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;250;3RV29011E;CONTATO AUX. FRONTAL INNOV 3RV2901-1E;-142;142;160;302;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;971;3SU19000AC810AA0;PLACA DE IDENT. AUTO ADESIVA OU ENCAIXE;-130;130;130;260;0;130;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1073;5204;1040207| GMK-G3/8B CONTRA PORCA GAS 3/8" (PRETO);-120;120;165;285;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;208;5SL11067MB;DISJ 1P C 6A 5SL1 106-7MB;-109;109;169;284;6;0;4;6;2;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1057;5250;1040238| WQSG AD13.0B SUPORTE FECHADO AD-13.0 (PRETO);-107;107;170;277;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1064;6680;1040282| WQG1-P09B/AD13.0 TERMINACAO RETA ENGATE RAPIDO PG-9 ( PRETO );-103;103;115;218;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1533;54028077483;CABO FLEX 750V  10,00MM PT 70G CL5 NM247-3                  RCM;-100;100;100;200;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;209;5SL11107MB;DISJ 1P C 10A 5SL1 110-7MB;-97;97;158;255;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1221;17062;1040852| WQG1-M20B/AD18.5 TERMINACAO RETA ENGATE RAPIDO M-20X1.5 (PRETA);-95;95;95;190;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1067;11526;1040607| WQG1-G1/2B/AD15.8 TERMINACAO RETA ENGATE RAPIDO GAS 1/2" (PRETO);-89;89;145;234;0;0;0;0;0;false
