os_id,numero_os,cliente_nome,status,data_abertura,criado_por
"8","8","Regonal Telhas","concluida","2025-12-31T00:01:49.978905","Gabriel"
"9","9","Incepa","concluida","2025-12-31T00:01:49.978905","Vagner"
"11","11","Cremer","concluida","2025-12-31T00:01:49.978905","Diogo"
"12","12","Cremer","concluida","2025-12-31T00:01:49.978905","Diogo"
"13","13","Cremer","concluida","2025-12-31T00:01:49.978905","Diogo"
"14","14","Cremer","concluida","2025-12-31T00:01:49.978905","Diogo"
"22","22","Krona","concluida","2025-12-31T00:01:49.978905","Diogo"
"25","25","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"26","26","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"27","27","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"28","28","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"29","29","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"30","30","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"31","31","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"32","32","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"33","33","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"34","34","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"35","35","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"36","36","Arcelormittal","concluida","2025-12-31T00:01:49.978905","Diogo"
"37","37","Dexco","concluida","2025-12-31T00:01:49.978905","Marcelo"
"38","38","Dexco","concluida","2025-12-31T00:01:49.978905","Marcelo"
"39","39","Dexco","concluida","2025-12-31T00:01:49.978905","Marcelo"
"40","40","Dexco","concluida","2025-12-31T00:01:49.978905","Marcelo"
"42","42","Weg","concluida","2025-12-31T00:01:49.978905","Gabriel"
"49","49","Eletromw","concluida","2025-12-31T00:01:49.978905","Gabriel"
"50","50","Vizinho","concluida","2025-12-31T00:01:49.978905","Gabriel"
"54","54","Dexco","concluida","2026-01-08T17:44:11.311456","gabriel@segau.com.br"
"70","56","Segau","concluida","2026-01-12T19:12:34.969614","gabriel@segau.com.br"
"73","59","Inoxsul","concluida","2026-01-14T20:18:43.631905","diogo@segau.com.br"
"74","60","Inoxsul","concluida","2026-01-15T11:34:18.852122","clarice@segau.com.br"
"82","68","SEGAU","concluida","2026-01-26T11:39:55.230427","douglas@segau.com.br"
"97","83","Mebius Com. de Máquinas Industriais","concluida","2026-02-05T15:11:44.698032","clarice@segau.com.br"
"122","103","ELETROFORTE","em_andamento","2026-02-20T16:29:21.94402","diogo@segau.com.br"
