mov_id;tenant_id;empresa_id;item_id;codigo;item;quantidade;data_movimentacao;motivo;sugestao1_os;sugestao1_freq;sugestao2_os;sugestao2_freq;sugestao3_os;sugestao3_freq
266;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;116;3209510;CONECTOR ELETRICO - PT 2,5;5;2026-01-07T12:47:05.74394;Baixa manual pela tela Baixa OS Cel;10;4;111;3;119;2
2518;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;678;17902102;MOTOR ELETRICO TRIFASICO CA 5.5 HP 04 112M 220/380/440 C/ 12 TERM 50 HZ B3L(D) IP55 W22 W22 IE1 WFF2;4;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2519;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;677;17633447;MOTOR ELETRICO TRIFASICO CA 7.5 HP 04 132S 220/380/440 C/ 12 TERM 50 HZ B3L(D) IP55 W22 W22 IE1 WFF2;12;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2520;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;676;19095938;MOTOR ELETRICO TRIFASICO CA 7.5 HP 04 132S 220/380/440 C/ 12 TERM 50 HZ B5L(D) IP55 W22 W22 IE1 WFF2;4;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2521;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;675;19095939;MOTOR ELETRICO TRIFASICO CA 7.5 HP 04 132S 220/380/440 C/ 12 TERM 50 HZ B14L(D) IP55 W22 W22 IE1 WFF2;2;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2522;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;674;18254159;MOTOR ELETRICO TRIFASICO CA 10 HP 04 132M 220/380/440 C/ 12 TERM 50 HZ B3L(D) IP55 W22 W22 IE1 WFF2;4;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2523;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;673;19095941;MOTOR ELETRICO TRIFASICO CA 30 HP 02 180M 220/380/440 C/ 12 TERM 50 HZ B3L(D) IP55 W22 W22 IE1 WFF2;4;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
2524;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;672;17911783;MOTOR ELETRICO TRIFASICO CA 15 HP 04 160M 220/380/440 C/ 12 TERM 50 HZ B3L(D) IP55 W22 W22 IE1 WFF2;2;2026-02-17T17:22:49.775;Zera estoque (fornecedor WEG EQUIPAMENTOS ELETRICOS S/A);;;;;;
1951;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;116;3209510;CONECTOR ELETRICO - PT 2,5;3;2026-02-11T13:53:11.399284;Adicao pela tela da OS (baixa imediata);10;4;111;3;119;2
1953;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;142;3209536;CONECTOR ELETRICO - PT 2,5-PE;1;2026-02-11T14:05:29.707737;Adicao pela tela da OS (baixa imediata);119;6;111;5;;
1954;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1114;18840981;CHAVE SECCIONADORA MSW040F-3P00-3R;1;2026-02-11T14:06:17.540619;Adicao pela tela da OS (baixa imediata);111;3;119;2;45;1
1956;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;747;5SL13067MB;DISJ 3P C 6A 5SL1 306-7MB;1;2026-02-11T14:09:36.683691;Adicao pela tela da OS (baixa imediata);111;3;119;2;;
1957;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;401;2903153;FONTE DE ALIMENTAÇÃO CHAVEADA - TRIO-PS-2G/3AC/24DC/5;1;2026-02-11T14:15:30.719569;Adicao pela tela da OS (baixa imediata);111;3;119;2;;
1958;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;208;5SL11067MB;DISJ 1P C 6A 5SL1 106-7MB;1;2026-02-11T14:16:02.21509;Adicao pela tela da OS (baixa imediata);111;3;119;2;;
1971;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1435;16280337;IHM CMT2078X 7" 800X480;1;2026-02-11T14:35:27.707037;Adicao pela tela da OS (baixa imediata);119;4;111;3;;
2882;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1435;16280337;IHM CMT2078X 7" 800X480;1;2026-02-18T19:41:08.964009;Adicao pela tela da OS (baixa imediata);119;4;111;3;;
2887;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;539;PA000749472;default_3939_atf_mir_1 | 1006-20 CFQ # 3.00 148.41x2459.75 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2888;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;538;PA000749471;default_3875_atf_mir_1 | 1006-20 CFQ # 3.00 98.41x399.96 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2889;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;537;PA000749470;default_3786_atf_mir_1 | 1006-20 CFQ # 3.00 128.41x1999.80 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2890;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;536;PA000749469;default_3655_atf_mir_1 | 1006-20 CFQ # 3.00 148.41x2459.75 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2891;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;535;PA000749468;default_3464_atf_mir_1 | 1006-20 CFQ # 3.00 128.41x1999.80 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2892;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;534;PA000749395;00010_fechamento_tubo_1 | INOX 304 # 2.00 104.71x592.62 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2893;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;533;PA000749394;00009_fechamento_tubo_1 | INOX 304 # 2.00 20.00x588.34 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2894;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;532;PA000749393;00007_tubo_ligacao_maq_1 | INOX 304 # 2.00 889.41x619.69 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2895;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;531;PA000749392;00004_funil_1 | INOX 304 # 2.00 319.99x584.30 (L X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
